1.10E+31,1.403
1.00E+30,0.375
1.10E+30,0.92
1.10E+29,0.219
1.11E+28,21.302
1.10E+31,0.042
1.01E+31,0.666
1.00E+30,2.702
1.01E+31,0.037
1.00E+30,1.08
1.01E+30,1.657
1.00E+29,6.019
1.01E+31,2.607
1.00E+31,10.379
1.01E+29,0.844
1.10E+29,2.193
1.01E+30,0.416
1.00E+31,0.048
1.00E+31,0.048
1.01E+28,0.914
1.01E+30,2.117
1.01E+31,0.348
1.00E+31,0.348
1.10E+29,0.104
1.10E+30,0.843
1.01E+30,0.61
1.10E+31,0.434
1.10E+30,0.186
1.10E+30,46.671
1.01E+29,27.476
1.01E+30,2.211
1.10E+31,11.438
1.01E+29,8.03
1.00E+31,3.641
1.11E+28,1.971
1.00E+31,2.006
1.10E+31,0.663
1.10E+31,1.621
1.10E+29,2.944
1.10E+31,13.724
1.01E+31,7.231
1.10E+30,46.04
1.01E+30,13.374
1.00E+31,0.385
1.00E+30,2.387
1.10E+31,23.052
1.01E+30,4.073
1.00E+30,0.025
1.10E+31,4.318
1.00E+30,26.863
1.01E+30,1.204
1.01E+29,0.048
1.01E+30,0.916
1.10E+30,8.173
1.01E+30,150.067
1.10E+31,0.258
1.01E+31,0.306
1.10E+30,0.236
1.10E+31,0.236
1.10E+30,9.255
1.10E+30,1.786
1.10E+27,1.786
1.01E+30,12.323
1.01E+30,2.081
1.10E+27,2.11
1.00E+31,0.634
1.00E+31,1.728
1.01E+30,0.714
1.10E+31,2.56
1.00E+31,9.477
1.01E+30,1.797
1.10E+31,12.321
1.01E+30,6.382
1.01E+30,2.812
1.01E+30,113.67
1.01E+31,2.004
1.10E+31,396.233
1.00E+31,17.117
1.01E+30,3.361
1.01E+31,0.166
1.01E+30,0.714
1.00E+31,27.462
1.01E+28,27.462
1.10E+31,9.14
1.10E+27,0.736
1.00E+31,13.642
1.00E+30,13.72
1.00E+31,13.72
1.01E+31,0.032
1.10E+31,1.052
1.10E+30,7.195
1.00E+31,6.297
1.00E+30,13.509
1.10E+31,0.83
1.00E+30,9.209
1.00E+30,0.118
1.10E+30,1.488
1.01E+31,8.957
1.01E+30,0.265
1.10E+30,73.262
1.10E+31,7.733
1.00E+29,0.83
1.10E+31,0.83
1.01E+30,5.869
1.01E+31,0.59
1.10E+29,151.225
1.01E+30,151.225
1.00E+30,0.056
1.10E+29,0.034
1.10E+29,0.034
1.01E+31,2.342
1.10E+30,0.14
1.10E+31,0.31
1.10E+30,0.777
1.00E+31,0.71
1.00E+29,0.682
1.00E+29,14.441
1.00E+31,2.004
1.01E+30,0.019
1.01E+30,3.892
1.00E+31,1.883
1.00E+30,4.155
1.10E+29,40.681
1.01E+28,0.129
1.00E+31,17.828
1.00E+31,39.974
1.01E+29,0.987
1.00E+29,0.786
1.11E+29,1.275
1.01E+29,0.832
